x,y
-0.67486,-0.711478
-0.629826,-0.750183
-0.63912,-0.716878
-0.442826,-0.874062
-0.397505,-0.898711
-0.411465,-0.870358
-0.710695,-0.673923
-0.750621,-0.63397
-0.717867,-0.640676
-0.29775,-0.932913
-0.354022,-0.919559
-0.319911,-0.91029
-0.898836,-0.396973
-0.874146,-0.445619
-0.870253,-0.414605
-0.026333,-0.982265
-0.0783586,-0.982399
-0.0518813,-0.967021
-0.919971,-0.352211
-0.932372,-0.297425
-0.909493,-0.319492
0.0753599,-0.976518
0.0231042,-0.984553
0.0462732,-0.963411
-0.985593,-0.024177
-0.976878,-0.0750703
-0.964836,-0.0464897
0.35194,-0.917585
0.29637,-0.930803
0.318647,-0.905445
-0.981024,0.0784
-0.98292,0.0257872
-0.966302,0.0516925
0.446458,-0.876162
0.39754,-0.896212
0.415682,-0.869778
-0.919532,0.3544
-0.931664,0.303089
-0.909468,0.323971
0.677668,-0.715213
0.63107,-0.749047
0.643388,-0.719276
-0.872309,0.44507
-0.900746,0.399626
-0.87186,0.413647
0.74558,-0.632323
0.709906,-0.67694
0.712879,-0.64103
-0.718014,0.669584
-0.741475,0.643652
0.897354,-0.3962
0.876704,-0.445518
0.871097,-0.41424
-0.637841,0.746901
-0.677784,0.709324
-0.647618,0.713284
0.919206,-0.351872
0.932566,-0.297201
0.908716,-0.319567
-0.397682,0.89734
-0.448189,0.872065
-0.416142,0.867585
0.98187,-0.0353528
0.979934,-0.0700203
-0.352581,0.919523
-0.296456,0.932891
-0.320288,0.909207
0.975848,0.0758175
0.980958,0.0194191
0.959132,0.0442062
-0.0241522,0.981358
-0.0750499,0.980711
-0.0491131,0.964189
0.915617,0.353929
0.931647,0.300643
0.905355,0.321627
0.0776736,0.976177
0.0252062,0.98424
0.0499086,0.962792
0.871828,0.448129
0.900198,0.401694
0.870859,0.418713
0.352928,0.920364
0.301706,0.933339
0.323475,0.911192
0.712157,0.676927
0.747846,0.639508
0.719107,0.646179
0.446624,0.876671
0.397607,0.898731
0.414845,0.873402
0.674914,0.71379
0.637334,0.749348
0.644174,0.72025
-0.679105,-0.678827
0.681144,0.683621
0.502247,0.832864
0.461311,0.838506
0.577545,0.787018
0.525512,0.79075
0.596956,0.752458
0.782899,0.582672
0.749266,0.600856
0.829923,0.510753
0.78654,0.534979
0.832881,0.467892
0.369071,0.895606
0.89274,0.373198
0.14902,0.963975
0.109233,0.948869
0.23062,0.948584
0.186486,0.93391
0.263243,0.920699
0.950262,0.226411
0.920301,0.260535
0.966092,0.142952
0.937269,0.179262
0.949901,0.105464
-0.566161,-0.795445
-0.585122,-0.756658
-0.497483,-0.840626
-0.517958,-0.801043
-0.458313,-0.84018
0.000827982,0.966432
0.963664,-0.0147067
-0.3686,0.893474
-0.510291,0.835239
-0.46989,0.836892
-0.581644,0.789016
-0.53697,0.795554
-0.601023,0.752361
0.892838,-0.367175
-0.689871,0.671812
0.838428,-0.500656
0.842548,-0.4612
0.789704,-0.571793
0.796937,-0.521387
0.75004,-0.588072
0.9497,-0.223919
0.920155,-0.2561
0.967164,-0.14254
0.937309,-0.177553
0.95522,-0.0982625
0.681268,-0.685434
-0.830147,0.510195
-0.834671,0.462754
-0.781122,0.585182
-0.786168,0.535177
-0.742243,0.605859
0.566252,-0.792586
0.586237,-0.752795
0.498492,-0.839962
0.518612,-0.797775
0.462157,-0.84206
-0.897118,0.371765
0.367775,-0.890425
-0.967065,0.144993
-0.956452,0.10782
-0.949163,0.23
-0.93768,0.182163
-0.919719,0.264179
0.220868,-0.948355
0.253534,-0.916766
0.140971,-0.964599
0.174392,-0.933102
0.103119,-0.949048
-0.218846,0.94762
-0.253338,0.917712
-0.13709,0.966399
-0.172332,0.933541
-0.101898,0.954661
-0.969346,0.0017102
-0.00300274,-0.967651
-0.895291,-0.367827
-0.143901,-0.966994
-0.107182,-0.957661
-0.224037,-0.948785
-0.177482,-0.936591
-0.25524,-0.919951
-0.947258,-0.224028
-0.917634,-0.256055
-0.964309,-0.14324
-0.932138,-0.177888
-0.949305,-0.103994
-0.369046,-0.8952
-0.791887,-0.571415
-0.755206,-0.592289
-0.839045,-0.500541
-0.797704,-0.523795
-0.839405,-0.462936
-0.611179,-0.690641
-0.649932,-0.64719
-0.617747,-0.653605
0.656248,0.657902
0.609349,0.696714
0.615192,0.664535
0.402144,0.837897
0.431345,0.8118
0.499842,0.742612
0.576318,0.716797
0.531237,0.703219
0.692967,0.611775
0.711824,0.579626
0.736419,0.506465
0.79059,0.446782
0.737511,0.46113
0.351647,0.866372
0.320834,0.876285
0.367481,0.833993
0.840993,0.400074
0.856006,0.37003
0.0385306,0.926573
